,company_name,count,address,postal_code,city,email,phone_number,course_name
0,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Advanced Software Developer Embedded Systems
1,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Affärsutvecklare besöksnäring
2,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Anläggningsingenjör hållbart byggande
3,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Arbetsledare – Hållbar grönyteförvaltning
4,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Arbetsledare – Utemiljö
5,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Arbetsledning inom ytbehandling
6,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Behandlingspedagog
7,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Betongingenjör
8,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,BI-Analyst med AI-kompetens
9,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,BIM-samordnare
10,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Bygglovshandläggare
11,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Byggnadsfysik inom träbyggnation
12,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Byggnadsingenjör Energi och ROT
13,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Cirkulärt återbruk inom samhällsbyggnad
14,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Cloud Native Computing
15,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,CNC-tekniker med Additiv tillverkning
16,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Drift- och fastighetstekniker
17,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Electric Driveline
18,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Electric Powertrain Engineering
19,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Electric Propulsion Technologies
20,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,"Elingenjör - Fastighet, industri och järnväg"
21,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Elnätsspecialist inom Reläskydd
22,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Elnätsspecialist inom Ställverk och Transformatorteknik
23,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Fastighetsförvaltare
24,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Fukttekniker
25,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Gastronomiledare - framtidens mat och protein
26,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Hotel Supervisor
27,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Hållbar Produktionsutveckling Industri 4.0
28,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Instrument och steriltekniker
29,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Instrument- och steriltekniker
30,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Kvalitetsledning och Livsmedelssäkerhet i produktion
31,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Kvalitetsutveckling hållbara fordonsverkstäder
32,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Köttförädlare
33,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Laborant
34,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Miljösanerare samhällsbyggnad
35,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Mobilitetstekniker – Hållbara drivmedel
36,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Platschef Samhällsbyggnad
37,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Power grids - smarta elnät
38,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Processoperatör för hållbar produktion
39,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Programmering och utveckling av inbyggda system
40,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,Projektör Infrastruktur
41,YH Akademin AB,56,Box 127,79123,Falun,yh@ya.se,023-585 00,QHSE-Manager
